Brand,Country,Business_Segment,Area,Region,CATEGORY
103,USA,Reckitt Core,North America,NAC,Other
131,USA,Reckitt Core,North America,NAC,Other
141,USA,Reckitt Core,North America,NAC,Other
151,USA,Reckitt Core,North America,NAC,Other
161,USA,Reckitt Core,North America,NAC,Other
193,USA,Reckitt Core,North America,NAC,Other
5022,Mexico,MJN Nutrition,Nutrition,Nutrition,Nutrition
3 in 1,United Kingdom,Essential Home,Europe,N Europe and ANZ,Cleaners
3 in 1,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
3 in 1,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
3 in 1,Argentina,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Brazil,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Colombia,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Mexico,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Central America,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Costa Rica,Essential Home,Emerging Markets,LATAM,#N/A
3 in 1,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Abc,China,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Abc,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Household Care
Abc,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Household Care
Abc,Unknown (GEM),Reckitt Core,Emerging Markets,South Asia,Household Care
Abc,Singapore,Reckitt Core,Emerging Markets,ASEAN,Household Care
Abc,Baltics,Essential Home,Europe,East Europe,Cleaners
Abc,Netherlands,Essential Home,Europe,West Europe,Cleaners
Abc,Ireland,Essential Home,Europe,N Europe and ANZ,Cleaners
Abc,Slovakia,Essential Home,Europe,East Europe,Cleaners
Abc,Poland,Essential Home,Europe,East Europe,Cleaners
Abc,United Kingdom,Essential Home,Europe,N Europe and ANZ,Cleaners
Abc,Czech Republic,Essential Home,Europe,East Europe,Cleaners
Abc,France,Essential Home,Europe,West Europe,Cleaners
Abc,Ecuador,Essential Home,Emerging Markets,LATAM,Cleaners
Abc,Colombia,Essential Home,Emerging Markets,LATAM,Cleaners
Abc,Costa Rica,Essential Home,Emerging Markets,LATAM,Cleaners
Abc,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Acorvio,Singapore,MJN Nutrition,Emerging Markets,ASEAN,Other
Acorvio,Nutrition BU HQ,MJN Nutrition,null,null,Nutrition
Acorvio,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Acorvio,Indonesia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Acorvio,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Addlerox,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Addlerox,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Addlerox,Germany,Reckitt Core,Europe,Central Europe,Self-Care
Addlerox,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Addlerox,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Adulfen,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Adulfen,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
