country,Brand,Business_Segment,Lead_Time
Argentina,DETTOL,Reckitt Core,3
Argentina,DUREX,Reckitt Core,3
Argentina,K-Y,Reckitt Core,3
Argentina,STREPSILS,Reckitt Core,3
Argentina,VEET,Reckitt Core,3
Argentina,ESPADOL,Reckitt Core,3
Australia,BONJELA,Reckitt Core,3
Australia,CARDIPRIN,Reckitt Core,3
Australia,CLEARASIL,Reckitt Core,3
Australia,DETTOL,Reckitt Core,3
Australia,DISPRIN,Reckitt Core,3
Australia,DUREX,Reckitt Core,3
Australia,FYBOGEL,Reckitt Core,3
Australia,GAVISCON,Reckitt Core,3
Australia,NUROFEN,Reckitt Core,3
Australia,NUROMOL,Reckitt Core,3
Australia,OPTREX,Reckitt Core,3
Australia,SAVLON,Reckitt Core,3
Australia,SENOKOT,Reckitt Core,3
Australia,STREPSILS,Reckitt Core,3
Australia,VEET,Reckitt Core,3
Australia,WAXEEZE,Reckitt Core,3
Australia,AEROGARD,Essential Home,1
Australia,AIRWICK,Essential Home,1
Australia,BLACK FLAG,Essential Home,1
Australia,BOTANICA,Essential Home,1
Australia,BRASSO,Essential Home,1
Australia,CRISP,Essential Home,1
Australia,E45,Reckitt Core,3
Australia,EASY OFF BAM,Essential Home,1
Australia,EULACTOL,Reckitt Core,3
Australia,EXIT MOULD,Essential Home,1
Australia,FABULON,Essential Home,1
Australia,FINISH,Reckitt Core,3
Australia,FREND,Reckitt Core,3
Australia,GLEN 10/20,Reckitt Core,3
Australia,GOLDILOCKS,Essential Home,1
Australia,HARPIC,Reckitt Core,3
Australia,HIPPO,Reckitt Core,3
Australia,K-Y,Reckitt Core,3
Australia,LEMSIP,Reckitt Core,3
Australia,MORTEIN,Essential Home,1
Australia,MR SHEEN,Essential Home,1
Australia,MUCINEX,Reckitt Core,3
Australia,PEA BEU,Essential Home,1
Australia,PINE O CLEEN,Reckitt Core,3
Australia,PREEN,Reckitt Core,3
Australia,SAPODERM,Reckitt Core,3
Australia,SCHOLL,Reckitt Core,3
Australia,SILVO,Essential Home,1
Australia,SOLPRIN,Reckitt Core,3
Australia,STEELO,Essential Home,1
Australia,STERADENT,Reckitt Core,3
Australia,STREPFEN,Reckitt Core,3
Australia,SUGARINE,Reckitt Core,3
Australia,VANISH,Reckitt Core,3
Austria,Aerogard,null,1
Austria,Airwick,Essential Home,2
Austria,Aladdin,null,1
Austria,Ava,null,1
Austria,Black Flag,null,1
Austria,Botanica,Essential Home,1
Austria,Botanical Origin,null,1
Austria,Brasso,null,1
Austria,Bryza,null,1
Austria,Calcor,null,1
Austria,Calgon,Essential Home,1
Austria,Calinda,null,1
Austria,Cera Clen/Vitro Clen,Essential Home,1
Austria,Cillit,Essential Home,1
Austria,Cillit Bang,Essential Home,1
Austria,Colon,null,1
Austria,Coral,null,1
Austria,Crisp,null,1
Austria,Destop,null,1
Austria,Dosia,null,1
Austria,Duraglit,null,1
Austria,Easy Off Bam,null,1
Austria,Elena,null,1
Austria,Exit Mould,null,1
Austria,Fabulon,null,1
Austria,Finish,Reckitt Core,3
Austria,Flor,null,1
Austria,Fogo,null,1
Austria,Frend,null,1
Austria,Glassex,null,1
Austria,Glen 10/20,null,1
Austria,Goldilocks,null,1
Austria,Harpic,null,1
Austria,HIPPO,null,1
Austria,Hoffmann's,Essential Home,1
Austria,Kalia,null,1
Austria,Lanza,null,1
Austria,Lavasbianca,null,1
Austria,Lovela,null,1
Austria,Lysol/Lizol,null,1
Austria,Marc,null,1
Austria,MORTEIN,null,1
Austria,Mr Sheen,null,1
Austria,Napisan,null,1
Austria,Napisan (Italy),null,1
Austria,Neophos,null,1
Austria,Pea Beu,null,1
Austria,Pine O Cleen,null,1
Austria,Pop,null,1
Austria,Preen,null,1
Austria,Quanto,Essential Home,1
Austria,Sagrotan,Reckitt Core,3
Austria,Scale Away,null,1
Austria,Sidol,null,1
Austria,Silvo,null,1
Austria,Sole,null,1
Austria,St Marc,null,1
Austria,Steelo,null,1
Austria,Timor,null,1
Austria,Tiret,null,1
Austria,Vanish,Reckitt Core,3
Austria,Vitroclen,null,1
Austria,Windolene,null,1
Austria,Woolite,Essential Home,1
Austria,Xau,null,1
Austria,BENACTIV GOLA,null,2
Austria,Benagol,null,3
Austria,Biofreeze,null,3
Austria,Bonjela,null,3
Austria,CARDIPRIN,null,3
Austria,DISPRIN,null,3
Austria,DOBENDAN,Reckitt Core,3
Austria,Fybogel,null,3
Austria,GAVISCON,Reckitt Core,3
Austria,Gavisconell,null,3
Austria,LEMSIP,null,3
Austria,Mucinex,null,3
Austria,Nureflex,Reckitt Core,3
Austria,NUROFEN,Reckitt Core,3
Austria,NUROMOL,null,3
Austria,OPTREX,null,3
Austria,REPSILS,null,3
Austria,Scholl,Reckitt Core,3
Austria,SENOKOT,null,3
Austria,Strefen,Reckitt Core,3
Austria,Strepfen,Reckitt Core,3
Austria,STREPSILS,Reckitt Core,3
Austria,CLEARASIL,Reckitt Core,3
Austria,CONTEX,null,3
Austria,Dettol,Reckitt Core,3
Austria,Durex,Reckitt Core,3
Austria,E45,null,3
Austria,ENFAMIL,null,3
Austria,EVIPLAN,null,2
Austria,EVITEST,null,2
Austria,Full Marks,null,2
Austria,GUSSARSKIYE,null,3
Austria,HC45,null,3
Austria,HEMOAL,null,3
Austria,K-Y,Reckitt Core,3
Austria,LANACANE,null,3
Austria,LIASAN,Reckitt Core,3
Austria,London,Reckitt Core,3
Austria,Lutsine,null,3
Austria,Nenuco,null,2
Austria,Nutramigen,MJN Nutrition,3
Austria,Paramol,null,3
Austria,Private Label,Reckitt Core,3
Austria,REFLEX,null,3
Austria,Sinus,null,3
Austria,Steradent,Reckitt Core,3
Austria,Superdent,null,2
Austria,SWEETEX,null,3
Austria,Veet,Reckitt Core,3
Baltics,Aerogard,null,1
Baltics,Airwick,Essential Home,2
Baltics,Aladdin,null,1
Baltics,Ava,null,1
Baltics,Black Flag,null,1
Baltics,Botanica,Essential Home,1
Baltics,Botanical Origin,Essential Home,1
Baltics,Brasso,null,1
Baltics,Bryza,Essential Home,1
Baltics,Calcor,null,1
Baltics,Calgon,Essential Home,1
Baltics,Calinda,null,1
Baltics,Cera Clen/Vitro Clen,null,1
Baltics,Cillit,Essential Home,1
Baltics,Cillit Bang,Essential Home,1
Baltics,Colon,null,1
Baltics,Coral,null,1
Baltics,Crisp,null,1
Baltics,Destop,null,1
Baltics,Dosia,Essential Home,1
Baltics,Duraglit,null,1
Baltics,Easy Off Bam,null,1
Baltics,Elena,null,1
Baltics,Exit Mould,null,1
Baltics,Fabulon,null,1
Baltics,Finish,Reckitt Core,3
Baltics,Flor,null,1
Baltics,Fogo,null,1
Baltics,Frend,null,1
Baltics,Glassex,null,1
Baltics,Glen 10/20,null,1
Baltics,Goldilocks,null,1
Baltics,Harpic,Reckitt Core,3
Baltics,HIPPO,null,1
Baltics,Hoffmann's,null,1
Baltics,Kalia,null,1
Baltics,Lanza,Essential Home,1
Baltics,Lavasbianca,null,1
Baltics,Lovela,Essential Home,1
Baltics,Lysol/Lizol,Reckitt Core,3
Baltics,Marc,null,1
Baltics,MORTEIN,null,1
Baltics,Mr Sheen,null,1
Baltics,Napisan,null,1
Baltics,Napisan (Italy),null,1
Baltics,Neophos,null,1
Baltics,Pea Beu,null,1
Baltics,Pine O Cleen,null,1
Baltics,Pop,null,1
Baltics,Preen,null,1
Baltics,Quanto,Essential Home,1
Baltics,Sagrotan,null,1
Baltics,Scale Away,null,1
Baltics,Sidol,null,1
Baltics,Silvo,null,1
Baltics,Sole,null,1
Baltics,St Marc,null,1
Baltics,Steelo,null,1
Baltics,Timor,null,1
Baltics,Tiret,Essential Home,1
Baltics,Vanish,Reckitt Core,3
Baltics,Vitroclen,null,1
Baltics,Windolene,null,1
Baltics,Woolite,Essential Home,1
Baltics,Xau,null,1
Baltics,BENACTIV GOLA,null,2
Baltics,Benagol,null,3
Baltics,Biofreeze,null,3
Baltics,Bonjela,null,3
Baltics,CARDIPRIN,null,3
Baltics,DISPRIN,null,3
Baltics,DOBENDAN,null,3
Baltics,Fybogel,null,3
Baltics,GAVISCON,Reckitt Core,3
Baltics,Gavisconell,null,3
Baltics,LEMSIP,null,3
Baltics,Mucinex,null,3
Baltics,Nureflex,null,3
Baltics,NUROFEN,Reckitt Core,3
Baltics,NUROMOL,null,3
Baltics,OPTREX,Reckitt Core,3
Baltics,REPSILS,null,3
Baltics,Scholl,Reckitt Core,3
Baltics,SENOKOT,null,3
Baltics,Strefen,null,3
Baltics,Strepfen,Reckitt Core,3
Baltics,STREPSILS,Reckitt Core,3
Baltics,CLEARASIL,null,3
Baltics,CONTEX,null,3
Baltics,Dettol,Reckitt Core,3
Baltics,Durex,Reckitt Core,3
Baltics,E45,Reckitt Core,3
Baltics,ENFAMIL,null,3
Baltics,EVIPLAN,null,2
Baltics,EVITEST,null,2
Baltics,Full Marks,null,2
Baltics,GUSSARSKIYE,null,3
Baltics,HC45,null,3
Baltics,HEMOAL,null,3
Baltics,K-Y,null,3
Baltics,LANACANE,null,3
Baltics,LIASAN,null,3
Baltics,London,null,3
Baltics,Lutsine,null,3
Baltics,Nenuco,null,2
Baltics,Nutramigen,null,3
Baltics,Paramol,null,3
Baltics,Private Label,null,2
Baltics,REFLEX,null,3
Baltics,Sinus,null,3
Baltics,Steradent,null,2
Baltics,Superdent,null,2
Baltics,SWEETEX,null,3
Baltics,Veet,Reckitt Core,3
Belgium,Aerogard,null,1
Belgium,Airwick,Essential Home,2
Belgium,Aladdin,null,1
Belgium,Ava,Essential Home,1
Belgium,Black Flag,null,1
Belgium,Botanica,Essential Home,1
Belgium,Botanical Origin,null,1
Belgium,Brasso,Essential Home,1
Belgium,Bryza,null,1
Belgium,Calcor,null,1
Belgium,Calgon,Essential Home,1
Belgium,Calinda,null,1
Belgium,Cera Clen/Vitro Clen,null,1
Belgium,Cillit,Essential Home,1
Belgium,Cillit Bang,Essential Home,1
Belgium,Colon,null,1
Belgium,Coral,null,1
Belgium,Crisp,null,1
Belgium,Destop,Essential Home,1
Belgium,Dosia,null,1
Belgium,Duraglit,null,1
Belgium,Easy Off Bam,null,1
Belgium,Elena,null,1
Belgium,Exit Mould,null,1
Belgium,Fabulon,null,1
Belgium,Finish,Reckitt Core,3
Belgium,Flor,null,1
Belgium,Fogo,null,1
Belgium,Frend,null,1
Belgium,Glassex,Essential Home,1
Belgium,Glen 10/20,null,1
Belgium,Goldilocks,null,1
Belgium,Harpic,Reckitt Core,3
Belgium,HIPPO,null,1
Belgium,Hoffmann's,null,1
Belgium,Kalia,null,1
Belgium,Lanza,null,1
Belgium,Lavasbianca,null,1
Belgium,Lovela,null,1
Belgium,Lysol/Lizol,Reckitt Core,3
Belgium,Marc,null,1
Belgium,MORTEIN,null,1
Belgium,Mr Sheen,null,1
